	H1650	H23	CAL-12T	H358	H1975	HCC15	H1355	HCC827	H2405	HCC78	H1666	H661	H838	H1703	CALU-3	H2342	H2228	H1299	H1792	H460	H2106	H441	H1944	H1437	H1734	LOU-NH91	HCC44	A549	H1781
ISL1	-0.087879637	0.514888477	-0.684680201	-0.087366588	-0.839249774	-0.670012823	-0.672535476	-0.589535356	-0.488367922	1.239036837	-0.443447851	0.885068552	-0.732354084	0.53455378	1.476060457	-0.696975682	1.149591532	0.067323111	-0.790170747	-0.587097414	2.416794687	-0.671791267	-0.59729523	-0.777928389	0.36751452	-0.439777059	-0.781152657	-0.726736383	-0.706876772
AR	-0.635952847	-0.506824593	-0.611225702	-0.728728069	-0.51888683	0.089342818	0.189057569	-0.435655538	-0.217340698	-0.367826614	-0.685446271	0.186780918	-0.471353067	-0.411159287	-0.358146691	-0.323935296	2.278628495	-0.357734801	1.178139449	1.498084674	-0.759317565	-0.552937774	-0.159035159	3.599618044	-0.39434612	-0.63978216	-0.369532879	0.755769407	0.148021114
JUND	0.923429949	-0.060409044	-1.036541996	0.149312121	0.691965205	-1.368279779	2.153771452	-0.520118171	-1.475091724	0.265824424	-1.075921475	-0.743320919	-0.766733589	-0.335657948	-1.315699761	-1.674169986	0.960874021	0.678085985	-0.751296961	-0.455124295	0.71463783	-0.825647559	-1.093314376	0.261298245	0.957414341	-1.202065411	0.103784008	-0.625639026	-0.113802744
ZNF568	0.404221882	0.086319946	-0.207655635	0.582899637	0.45565543	-0.352913201	1.192568179	-0.504310541	-0.459016766	-0.872481345	-1.138924537	3.05112199	0.258457567	1.559826276	-0.457345337	0.617641289	0.046004062	2.396414446	-1.078744682	-0.435893928	1.703594395	-0.365178749	1.460649204	-0.674384774	0.075863013	1.902119322	-0.881681205	-0.630821222	0.97349895
ZNF470	0.882732706	1.388133009	0.468451674	0.361715031	3.618143882	0.41030558	1.084978128	1.591387007	-0.56862506	0.136626269	-0.544386826	1.0272015	1.884448349	1.965069613	-0.691898201	0.041921239	-0.135912236	0.783094987	0.831909808	0.177412669	1.442109976	0.282907389	0.258230982	-1.086734976	0.83121625	0.191247532	-1.285478902	0.644802101	0.477779057
HES5	0.431875668	-0.06138594	-0.084314163	-0.51824809	-0.556814828	-0.029160886	-0.004024052	-1.172108002	-0.190733045	-0.724121627	0.192154845	2.176841044	-0.278728755	-0.169026662	-0.019078771	0.095748333	0.153384037	0.151743723	-0.070664689	-0.256983624	-0.653859384	-0.441047451	-0.027889966	0.328659917	-0.365171978	0.417810303	0.339080427	-0.028329105	-0.856956012
LHX1	-0.032732558	-0.236918019	0.073650329	0.106998244	0.492947994	-0.407530857	-0.407514299	-0.538690806	3.568622256	-0.209891507	-0.165666522	-0.564101782	-0.665034899	0.919191515	-0.446449175	-0.348245675	1.960001967	-0.4169284	-0.124452629	-0.281342877	-0.624965836	-0.522957667	-0.87799345	-0.206044262	-0.916694156	-0.798203032	0.239498165	-0.217557613	-0.528278527
ZNF880	-0.908904088	1.362802368	0.448571965	-0.845252046	3.082556986	-0.850474513	0.230334319	0.907269276	0.591374106	-0.985439183	-1.08751826	0.589192327	0.267903024	1.067171878	-1.105137779	1.38485736	0.395042983	0.538551505	-0.988235131	-1.013487398	0.145715855	1.085618409	0.206262835	-1.152104605	-0.2774681	1.35385139	-0.89537845	-0.858648935	1.818815661
LMX1B	-0.127085796	0.438407033	1.226770462	-0.726197172	-1.979803961	2.50990959	0.652708371	1.390903456	-0.709451132	-0.604195295	-0.101718162	0.68587774	-0.282623362	1.045446612	0.884872151	0.570303901	-0.031624648	0.216317042	-1.193001751	1.735610218	-0.114116337	-0.881342252	-0.281288912	0.410392304	-1.055440012	-0.352634018	3.10121487	0.268870825	-0.150608749
YY2	-1.296876077	-0.382954317	0.513480745	-1.080302926	0.008552912	0.206623665	1.834432128	0.258720513	-0.346007362	0.902875595	-0.814668458	1.786761325	0.00449474	2.32052208	-0.063767703	-1.306630498	-0.461362191	1.3081584	-0.087917764	2.239735756	-0.426682631	-0.062317034	0.428508996	-0.139424627	-1.173178163	1.175106329	-0.124557001	0.881282137	-0.761579046
